booking_id,booked_on,arrival,nights,rooms,rate,currency,segment,rate_code,source,room_type,company,status,status_date,updated_on
S-0000,2025-01-23,2025-02-11,0,5,226.04,EUR,GROUP,,Walk-in,STD,ACME,stayed,,
S-0001,2025-02-22,2025-04-27,2,1,149.45,EUR,EXPEDIA,,Agoda,STD,,stayed,,
S-0002,2025-01-17,2025-03-12,0,1,250.02,EUR,WEB,,Web,DLX,,cancelled,2025-02-03,
S-0003,2024-12-10,2025-01-07,1,1,125.03,EUR,WEB,,Agoda,STD,,stayed,,
S-0004,2025-02-04,2025-03-15,2,1,191.39,EUR,BOOKING,,Walk-in,STD,,stayed,,
S-0005,2025-03-04,2025-03-12,2,1,199.28,EUR,WEB,,,DLX,,stayed,,
S-0006,2024-12-17,2025-03-01,1,1,0,EUR,COMP,,Agoda,STD,,stayed,,
S-0007,2024-10-30,2025-01-11,1,1,208.59,EUR,CORP,,Walk-in,STD,ACME,stayed,,
S-0008,2024-11-12,2025-01-16,1,8,98.88,EUR,GROUP,,,STD,ACME,stayed,,
S-0009,2025-03-18,2025-03-27,1,1,182.93,EUR,DEFAULT,BAR,,STD,,stayed,,
S-0010,2025-04-07,2025-04-18,3,1,82.35,EUR,CORP,,Walk-in,DLX,ACME,stayed,,
S-0011,2024-12-19,2025-02-06,2,1,137.54,EUR,DEFAULT,BAR,Web,DLX,,stayed,,
S-0012,2024-12-12,2025-01-08,1,1,145.6,EUR,CORP,,,STD,ACME,stayed,,
S-0013,2024-11-26,2025-01-22,1,7,225.66,EUR,GROUP,,,DLX,ACME,stayed,,
S-0014,2025-02-09,2025-03-29,1,1,98.75,EUR,EXPEDIA,,Agoda,STD,,stayed,,
S-0015,2024-12-19,2025-03-04,0,1,97.68,EUR,BOOKING,,Walk-in,DLX,,stayed,,
S-0016,2024-10-21,2025-01-17,4,1,218.19,EUR,WEB,,,DLX,,stayed,,
S-0017,2025-01-02,2025-02-21,2,1,81.83,EUR,PHONE,,Web,STD,,stayed,,
S-0018,2025-02-06,2025-02-26,0,1,89.45,EUR,PHONE,,Agoda,STD,,stayed,,
S-0019,2024-11-30,2025-02-16,1,1,186.67,EUR,WEB,,Agoda,DLX,,stayed,,
S-0020,2024-11-29,2025-02-14,0,1,231.3,EUR,DEFAULT,TO-SUMMER,,DLX,,stayed,,
S-0021,2025-01-23,2025-03-03,3,1,135.1,EUR,PHONE,,Walk-in,DLX,,stayed,,
S-0022,2025-01-19,2025-04-17,1,1,250.69,EUR,BOOKING,,Walk-in,STD,,stayed,,
S-0023,2025-01-20,2025-03-30,1,1,255.92,EUR,WEB,,Walk-in,DLX,,cancelled,,
S-0024,2025-04-06,2025-04-27,2,1,172.9,EUR,DEFAULT,TO-SUMMER,Agoda,STD,,cancelled,2025-04-07,
S-0025,2025-03-15,2025-04-14,1,5,107.98,EUR,GROUP,,Web,DLX,ACME,cancelled,2025-03-22,
S-0026,2025-01-28,2025-03-02,1,1,154.97,EUR,EXPEDIA,,Walk-in,DLX,,stayed,,
S-0027,2024-12-14,2025-01-11,1,1,134.17,EUR,PHONE,,,STD,,stayed,,
S-0028,2024-12-10,2025-03-03,0,1,228.58,EUR,DEFAULT,TO-SUMMER,Agoda,DLX,,cancelled,2025-01-13,
S-0029,2025-04-02,2025-04-24,1,8,86.48,EUR,GROUP,,,DLX,ACME,cancelled,,
S-0030,2025-03-27,2025-04-06,1,1,75.23,EUR,BOOKING,,,STD,,stayed,,
